단과대학(변경 후),학부(변경 후),전공(변경 후),"전공코드
(학과코드)","전공능력 
번호",전공능력/SPC,"진단문항
번호",전공능력진단문항(MYiCap+),비고,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,4,영어교육,2,나는 영어 교수법에 대한 기초 이론을 적용할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,4,영어교육,3,나는 학생 개인의 요구에 부응하는 영어 교수법을 개발하고 발전시킬 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,5,영어실무,1,나는 ICT 정보를 제공하는 영어 원문을 읽고 이해할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,5,영어실무,2,"나는 비즈니스 상황에서 영어로 말하고, 듣고, 읽고, 쓸 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,영어영문학전공,14422,5,영어실무,3,"나는 뉴스, 잡지 기사 등에 실린 시사적인 글을 읽고 그 배경 및 시사점 등에 대해 설명할 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,1,역사자료 이해 및 분석,1,나는 역사자료와 사실에 대한 정보를 이해할 수 있다.,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,1,역사자료 이해 및 분석,2,나는 역자자료와 사실에 대한 정보를 분석·해석할 수 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,1,역사자료 이해 및 분석,3,나는 역사자료와 사실에 대한 정보를 평가하여 명확하게 요약하고 종합할 수 있다.,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,2,문화콘텐츠의 이해와 활용,1,나는 다양한 시대의 문화콘텐츠에 대해 이해하고 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,2,문화콘텐츠의 이해와 활용,2,나는 다양한 지역의 문화콘텐츠에 대해 이해하고 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,2,문화콘텐츠의 이해와 활용,3,나는 다양한 문화콘텐츠를 활용할 수 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,3,융합적 사고 및 전문지식 활용 ,1,나는 미술사 또는 역사적 전문지식을 이해하고 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,3,융합적 사고 및 전문지식 활용 ,2,나는 미술사 또는 역사적 전문지식을 적용할 수 있다. ,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,미술사·역사학전공,14423,3,융합적 사고 및 전문지식 활용 ,3,나는 미술사 또는 역사적 전문지식을 다른 분야의 현실적인 문제에 대해 통합적 관점을 가지고 유연하게 대응할 수 있다.,"신설(미술사학과, 사학과 통합)",,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,1,문헌정보지식탐구,1,"나는 다양한 매체의 문헌정보를 생성, 수집하기 위한 이론을 이해하고 있다. ",,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,1,문헌정보지식탐구,2,나는 다양한 매체의 문헌정보를 조직하기 위한 이론을 이해할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,1,문헌정보지식탐구,3,나는 다양한 매체의 문헌정보를 보존 및 제공하기 위한 이론을 이해할 수 있다. ,,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,2,문헌정보및정보센터실무수행,1,"나는 다양한 매체의 문헌정보를 생성, 수집, 조직, 보존 및 제공하는 도서관 및 정보센터 업무를 이해하고 있다.",,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,2,문헌정보및정보센터실무수행,2,"나는 다양한 매체의 문헌정보를 생성, 수집, 조직, 보존 및 제공하는 도서관 및 정보센터 업무를 적용할 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,2,문헌정보및정보센터실무수행,3,"나는 다양한 매체의 문헌정보를 생성, 수집, 조직, 보존 및 제공하는 도서관 및 정보센터 업무를 수행할 수 있다.",,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,3,문헌정보응용,1,나는 다양한 매체의 문헌정보를 유관 분야를 이해하고 있다.,,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,3,문헌정보응용,2,나는 다양한 매체의 문헌정보를 유관 분야를 조사하고 분석할 수 있다.,,,,,,,
인문대학,인문콘텐츠학부,문헌정보학전공,14424,3,문헌정보응용,3,나는 다양한 매체의 문헌정보를 유관 분야와 융복합하고 응용할 수 있다. ,,,,,,,
